Asset	DateMin	DateMax	TotalDays	DateDiffDays
F11BH22   	2021-06-25	2022-03-18	104	266
F11BH23   	2022-06-21	2023-03-17	92	269
F11BH24   	2023-07-17	2024-03-15	105	242
F11BM22   	2021-09-20	2022-06-17	94	270
F11BM23   	2022-09-19	2023-06-16	100	270
F11BM24   	2023-09-18	2024-06-20	102	276
F11BU22   	2021-12-23	2022-09-16	99	267
F11BU23   	2022-12-20	2023-09-15	114	269
F11BU24   	2024-01-04	2024-06-20	41	168
FACPM23   	2022-09-30	2023-06-16	69	259
FACPZ22   	2022-03-22	2022-12-16	57	269
FACPZ23   	2023-04-14	2023-12-15	54	245
FALEM24   	2023-09-25	2024-06-20	121	269
FALEZ21   	2021-03-22	2021-12-17	127	270
FALEZ22   	2022-03-21	2022-12-16	159	270
FALEZ23   	2023-03-30	2023-12-15	136	260
FALEZ24   	2024-03-19	2024-06-19	33	92
FALRH23   	2022-06-20	2023-03-17	128	270
FALRH24   	2023-06-19	2024-03-15	168	270
FALRM22   	2021-09-20	2022-06-17	124	270
FALRM23   	2022-09-21	2023-06-16	159	268
FALRM24   	2023-10-04	2024-06-20	149	260
FALRU22   	2022-02-11	2022-09-16	126	217
FALRU23   	2023-01-02	2023-09-15	148	256
FALRU24   	2023-12-18	2024-06-20	72	185
FAPRM24   	2024-04-03	2024-06-07	9	65
FASBM24   	2024-03-18	2024-06-20	22	94
FASBU24   	2024-05-29	2024-06-19	3	21
FATTM22   	2021-09-20	2022-06-17	94	270
FATTZ22   	2022-03-21	2022-12-16	84	270
FATTZ23   	2023-03-20	2023-12-15	82	270
FATTZ24   	2024-04-11	2024-06-14	6	64
FBASZ22   	2022-05-05	2022-11-18	14	197
FBASZ23   	2023-05-12	2023-12-14	21	216
FBASZ24   	2024-04-18	2024-04-18	1	0
FBDXH24   	2023-09-26	2024-03-15	72	171
FBDXZ23   	2023-09-18	2023-12-15	52	88
FBDXZ24   	2024-03-26	2024-06-14	16	80
FBMLZ21   	2021-03-22	2021-12-17	94	270
FBMLZ22   	2022-03-31	2022-12-16	25	260
FCARH24   	2023-12-15	2024-03-12	12	88
FCARM24   	2024-03-07	2024-06-20	15	105
FCARU24   	2024-03-18	2024-04-30	3	43
FCCCZ21   	2021-04-27	2021-12-17	82	234
FCCCZ22   	2022-03-22	2022-12-16	92	269
FCCCZ23   	2023-06-14	2023-12-15	110	184
FCCCZ24   	2024-03-19	2024-06-18	12	91
FCDRZ21   	2021-03-25	2021-12-17	114	267
FCDRZ22   	2022-03-21	2022-12-16	124	270
FCDRZ23   	2023-03-21	2023-12-15	136	269
FCDRZ24   	2024-04-03	2024-06-04	11	62
FCHFG24   	2024-01-23	2024-02-06	4	14
FCHFH22   	2021-03-22	2022-03-18	177	361
FCHFH23   	2022-03-21	2023-03-17	240	361
FCHFH24   	2023-03-21	2024-03-15	226	360
FCHFH25   	2024-03-18	2024-06-20	53	94
FCHFJ22   	2022-01-24	2022-04-14	47	80
FCHFJ23   	2023-03-21	2023-04-14	4	24
FCHFJ24   	2024-03-19	2024-04-15	9	27
FCHFK22   	2022-02-22	2022-05-13	23	80
FCHFK23   	2023-04-06	2023-05-19	14	43
FCHFK24   	2024-03-21	2024-05-16	12	56
FCHFM22   	2021-06-21	2022-06-17	221	361
FCHFM23   	2022-06-20	2023-06-16	217	361
FCHFM24   	2023-06-19	2024-06-20	202	367
FCHFN22   	2022-05-06	2022-07-12	22	67
FCHFN23   	2023-06-09	2023-07-21	12	42
FCHFN24   	2024-06-17	2024-06-20	2	3
FCHFQ22   	2022-06-23	2022-08-19	17	57
FCHFQ23   	2023-07-20	2023-07-20	1	0
FCHFU22   	2021-09-20	2022-09-16	222	361
FCHFU23   	2022-09-19	2023-09-15	181	361
FCHFU24   	2023-09-19	2024-06-20	148	275
FCHFV22   	2022-07-26	2022-10-21	32	87
FCHFV23   	2023-09-29	2023-10-17	4	18
FCHFZ23   	2022-12-19	2023-12-15	197	361
FCIEH22   	2021-06-28	2022-03-18	104	263
FCIEH23   	2022-07-25	2023-03-17	73	235
FCIEZ22   	2022-04-12	2022-12-16	61	248
FCIEZ23   	2023-03-23	2023-10-27	12	218
FCIGZ22   	2022-08-31	2022-12-16	54	107
FCIGZ23   	2023-05-09	2023-12-15	86	220
FCPSH22   	2021-07-02	2022-03-18	112	259
FCPSH23   	2022-06-20	2023-03-17	113	270
FCPSH24   	2023-07-05	2024-03-15	110	254
FCPSM22   	2021-11-26	2022-06-17	78	203
FCPSM23   	2022-09-21	2023-06-16	93	268
FCPSM24   	2023-09-19	2024-06-20	125	275
FCPSU22   	2021-12-20	2022-09-16	101	270
FCPSU23   	2022-12-19	2023-09-15	113	270
FCPSU24   	2023-12-18	2024-06-20	97	185
FDNPM22   	2021-09-20	2022-06-17	101	270
FDNPZ21   	2021-05-24	2021-12-17	96	207
FDNPZ22   	2022-03-21	2022-12-16	121	270
FDNPZ23   	2023-03-20	2023-12-15	108	270
FDNPZ24   	2024-03-21	2024-06-20	11	91
FDOMH24   	2023-10-03	2024-03-08	34	157
FDOMM24   	2023-09-27	2024-06-07	41	254
FDOMU24   	2024-03-28	2024-06-17	5	81
FEATM24   	2024-03-19	2024-06-12	10	85
FENAH22   	2021-07-08	2022-03-18	94	253
FENAH23   	2022-06-20	2023-03-17	78	270
FENAH24   	2023-06-21	2024-03-15	53	268
FENAM22   	2021-09-20	2022-06-17	93	270
FENAM23   	2022-09-19	2023-06-16	74	270
FENAM24   	2023-11-27	2024-06-20	66	206
FENAU22   	2022-01-03	2022-09-16	79	256
FENAU23   	2022-12-19	2023-09-15	75	270
FENAU24   	2024-03-11	2024-06-20	8	101
FENAZ22   	2022-03-21	2022-12-16	69	270
FENAZ23   	2023-03-20	2023-12-15	69	270
FEUHH22   	2021-06-21	2022-03-18	117	270
FEUHH23   	2022-06-20	2023-03-17	146	270
FEUHH24   	2023-06-21	2024-03-15	116	268
