Asset	DateMin	DateMax	TotalDays	DateDiffDays
06MAGNA   	2000-11-17	2024-06-21	5510	8617
11BIT     	2011-01-12	2024-06-21	3351	4909
1SOLUTION 	2022-01-26	2024-06-21	601	877
3RGAMES   	2021-01-19	2024-06-21	852	1249
4MASS     	2019-01-10	2024-06-21	1345	1989
4MOBILITY 	2016-11-04	2024-06-21	1591	2786
7LEVELS   	2018-06-05	2024-06-21	1348	2208
ABPL      	2006-09-21	2024-06-21	4336	6483
ACAUTOGAZ 	2011-08-11	2024-06-21	2991	4698
ACTION    	2006-08-16	2024-06-21	4452	6519
ADATEX    	2019-10-24	2024-06-21	912	1702
ADIUVO    	2015-05-27	2024-06-21	2184	3313
AGORA     	2000-11-17	2024-06-21	5900	8617
AGROLIGA  	2011-02-11	2024-06-21	3152	4879
AGROTON   	2010-11-08	2024-06-21	3381	4974
AIGAMES   	2020-07-06	2024-06-21	994	1446
AILLERON  	2015-11-06	2024-06-21	2135	3150
AIRWAY    	2014-12-17	2024-06-21	2342	3474
AITON     	2011-12-09	2024-06-21	2709	4578
ALIOR     	2012-12-14	2024-06-21	2869	4207
ALLEGRO   	2020-10-12	2024-06-21	924	1348
ALTA      	2013-10-18	2024-06-21	2587	3899
ALTUS     	2021-09-06	2024-06-21	670	1019
AMBRA     	2005-07-29	2024-06-21	4691	6902
AMICA     	2000-11-17	2024-06-21	5898	8617
AMPLI     	2004-07-13	2024-06-21	2749	7283
AMREST    	2005-04-27	2024-06-21	4782	6995
ANALIZY   	2010-12-08	2024-06-21	1745	4944
ANSWEAR   	2021-01-08	2024-06-21	864	1260
APATOR    	2001-04-18	2024-06-21	5769	8465
APIS      	2012-10-01	2024-06-21	2042	4281
APLISENS  	2009-06-24	2024-06-21	3607	5476
APS       	2009-02-09	2024-06-21	2491	5611
APSENERGY 	2013-08-08	2024-06-21	2430	3970
AQUAPOZ   	2010-09-10	2024-06-21	2751	5033
AQUATECH  	2017-08-25	2024-06-21	1199	2492
ARCHICOM  	2016-05-09	2024-06-21	1926	2965
ARCTIC    	2009-10-23	2024-06-21	3644	5355
ARI       	2013-01-21	2024-06-21	1964	4169
ARTGAMES  	2019-05-24	2024-06-21	1264	1855
ARTIFEX   	2016-11-17	2024-06-21	1892	2773
ASBIS     	2007-10-30	2024-06-21	4071	6079
ASMODEV   	2021-12-06	2024-06-21	531	928
ASSECOBS  	2007-11-19	2024-06-21	4053	6059
ASSECOPOL 	2005-10-28	2024-06-21	4648	6811
ASSECOSEE 	2009-10-28	2024-06-21	3370	5350
ASTARTA   	2006-08-17	2024-06-21	4442	6518
ATAL      	2015-07-23	2024-06-21	2220	3256
ATCCARGO  	2010-06-25	2024-06-21	2888	5110
ATENDE    	2013-04-22	2024-06-21	2758	4078
ATLANTAPL 	2005-01-10	2024-06-21	4227	7102
ATLANTIS  	2000-11-17	2024-06-21	5314	8617
ATMGRUPA  	2004-02-05	2024-06-21	4950	7442
ATOMJELLY 	2021-02-09	2024-06-21	737	1228
ATREM     	2009-01-07	2024-06-21	3749	5644
AUTOPARTN 	2016-06-06	2024-06-21	2007	2937
AUXILIA   	2016-01-22	2024-06-21	1800	3073
AZTEC     	2010-07-27	2024-06-21	2789	5078
